English,Polish,Spanish
you,Ty,tú
to,Do,a
it,To,él
and,I,y
is,Jest,es
in,W,en
what,Co,qué
we,My,nosotros
me,Ja,a mí
this,Ten,este
he,On,él
for,Do,para
my,Mój,mi
on,NA,en
have,Posiadać,tener
your,twój,su
do,Do,hacer
was,był,era
no,NIE,No
not,nie,no
be,Być,ser
are,Czy,son
know,wiedzieć,saber
can,Móc,poder
with,z,con
but,Ale,pero
all,Wszystko,todo
so,Więc,entonces
just,Tylko,justo
there,Tam,allá
here,Tutaj,aquí
they,Oni,ellos
like,tak jak,como
get,Dostawać,conseguir
she,ona,ella
go,Iść,ir
if,Jeśli,si
right,Prawidłowy,bien
out,na zewnątrz,afuera
about,o,acerca de
up,w górę,arriba
at,Na,en
him,jego,a él
now,Teraz,ahora
oh,Oh,Vaya
one,jeden,uno
come,przychodzić,venir
well,Dobrze,Bueno
her,jej,su
how,Jak,cómo
yeah,Tak,sí
will,będzie,voluntad
got,dostał,consiguió
want,chcieć,desear
think,myśleć,pensar
as,Jak,como
see,Widzieć,ver
did,zrobił,hizo
good,Dobry,bien
who,Kto,OMS
why,Dlaczego,por qué
from,z,de
let,pozwalać,dejar
his,jego,su
yes,Tak,Sí
when,Kiedy,cuando
going,pójście,yendo
time,czas,tiempo
okay,Dobra,bueno
back,z powrotem,atrás
look,Patrzeć,mirar
us,nas,a nosotros
would,zrobiłbym,haría
them,ich,a ellos
where,Gdzie,dónde
were,był,eran
take,Brać,llevar
then,Następnie,entonces
had,miał,tenía
or,Lub,o
been,został,estado
our,nasz,nuestro
gonna,zamierzać,ir a
tell,powiedzieć,decir
really,Naprawdę,en realidad
man,Człowiek,hombre
some,Niektóre,alguno
say,mowić,decir
hey,Hej,ey
could,mógł,podría
by,przez,por
need,potrzebować,necesidad
something,coś,algo
has,ma,tiene
too,zbyt,también
more,więcej,más
way,sposób,forma
down,w dół,abajo
make,robić,hacer
very,bardzo,muy
never,nigdy,nunca
only,tylko,solo
people,ludzie,gente
over,nad,encima
because,ponieważ,porque
little,mały,pequeño
please,Proszę,por favor
love,Miłość,amar
should,powinien,debería
mean,mieć na myśli,significar
said,powiedział,dicho
sorry,Przepraszam,Lo siento
give,dawać,dar
off,wyłączony,apagado
am,jestem  ,soy
thank,dziękować,agradecer
any,każdy,cualquier
two,dwa,dos
even,nawet,incluso
much,dużo,mucho
doing,czyn,haciendo
sure,Jasne,seguro
thing,rzecz,cosa
